,0
Perovskite_composition_long_form,0.08802262728075427
Perovskite_deposition_quenching_induced_crystallisation,0.08402964076835004
HTL_stack_sequence,0.07047395727529635
Perovskite_deposition_solvents,0.06404396536525607
ETL_stack_sequence,0.0563100857494007
Perovskite_composition_leadfree,0.0558878486416433
Perovskite_deposition_thermal_annealing_time,0.04445408606823484
Perovskite_deposition_thermal_annealing_temperature,0.03737755703867194
Perovskite_composition_a_ions,0.03657678916945331
Perovskite_deposition_quenching_media,0.03406277036903763
Cell_area_measured,0.03302388944943524
ETL_deposition_procedure,0.03131659060028218
ETL_thickness,0.028347331125736144
Perovskite_composition_a_ions_coefficients,0.026419912074126767
Backcontact_thickness_list,0.026199224925508434
Perovskite_deposition_solvents_mixing_ratios,0.023007616556892232
Perovskite_thickness,0.022776119885304532
Perovskite_deposition_synthesis_atmosphere,0.01958196507410979
HTL_additives_compounds,0.01818967623984743
Backcontact_stack_sequence,0.0161425632280733
Perovskite_additives_compounds,0.015716140358796076
Perovskite_band_gap,0.013898779126104698
HTL_thickness_list,0.013286133031935791
Substrate_stack_sequence,0.01153321459875859
Perovskite_additives_concentrations,0.011356005473564277
Perovskite_pl_max,0.011355309648526934
HTL_deposition_procedure,0.011153292604879439
Perovskite_deposition_procedure,0.01086440927563849
ETL_additives_compounds,0.009969742819522436
Backcontact_deposition_procedure,0.006260465815062788
Cell_semitransparent,0.005079012145367183
Perovskite_composition_none_stoichiometry_components_in_excess,0.004419688747101978
Perovskite_composition_c_ions,0.004109382834104603
Cell_architecture,0.0035619359190344926
Encapsulation,0.003525166419905839
Perovskite_composition_b_ions,0.003407348821966874
Perovskite_composition_c_ions_coefficients,0.002904989625314787
Perovskite_deposition_aggregation_state_of_reactants,0.0028433929680557477
Perovskite_deposition_solvent_annealing,0.0022718567569962145
Perovskite_deposition_after_treatment_of_formed_perovskite,0.0021802508998524954
Perovskite_band_gap_estimation_basis,0.0020077507377436795
Perovskite_deposition_synthesis_atmosphere_relative_humidity,0.0018753956367125403
Perovskite_composition_b_ions_coefficients,0.001791536566092524
Perovskite_deposition_number_of_deposition_steps,0.001530630707330097
Cell_flexible,0.0014354158460712584
Module,0.0013878900081384397
Encapsulation_stack_sequence,0.0012932177688272945
ETL_deposition_thermal_annealing_temperature,0.001291706574898169
HTL_additives_concentrations,0.0012626429203800164
Perovskite_composition_short_form,0.0010184994435328211
ETL_deposition_solvents,0.0008824982676310431
Perovskite_deposition_solvent_annealing_solvent_atmosphere,0.0008419564739766091
HTL_deposition_aggregation_state_of_reactants,0.000805699386826358
Encapsulation_edge_sealing_materials,0.0006035349784511616
HTL_deposition_reaction_solutions_compounds,0.0005728388042826937
ETL_deposition_synthesis_atmosphere,0.0005689369122010696
ETL_deposition_aggregation_state_of_reactants,0.0005480284055704787
ETL_additives_concentrations,0.0005385683565578807
ETL_deposition_thermal_annealing_time,0.0004587791019555861
Perovskite_composition_perovskite_ABC3_structure,0.00045273102308829424
Perovskite_deposition_thermal_annealing_atmosphere,0.00045115739003482604
HTL_deposition_reaction_solutions_concentrations,0.0004417522533709426
Module_number_of_cells_in_module,0.0004141792546135493
Perovskite_deposition_quenching_media_additives_compounds,0.0003991848292471227
Perovskite_deposition_reaction_solutions_compounds,0.00039820859384037183
Encapsulation_atmosphere_for_encapsulation,0.0003962712922529248
HTL_deposition_solvents,0.00036597459633531086
ETL_deposition_reaction_solutions_compounds,0.00036238532400641036
ETL_surface_treatment_before_next_deposition_step,0.0003483346182072339
Add_lay_front,0.00031880607422057254
HTL_deposition_thermal_annealing_temperature,0.00031084447177544787
